Number at Lngt

	Season	Q1			Q2			Q3			Q4
	Sex	Male	Female		Male	Female		Male	Female		Male	Female
	Lngt	Number	Number		Number	Number		Number	Number		Number	Number
	12	0.000	0.000		93.000	0.000		0.000	0.000		0.000	0.000
	13	0.000	0.000		0.000	93.000		0.000	0.000		0.000	0.000
	21	466.875	310.500		0.000	0.000		0.000	0.000		421.225	280.140
	22	1087.875	777.375		0.000	0.000		0.000	0.000		981.505	701.365
	23	1865.250	1087.875		0.000	0.000		0.000	0.000		1682.870	981.505
	24	2875.500	1399.500		0.000	0.000		1874.074	946.542		2594.340	1262.660
	25	3497.625	2020.500		0.000	0.000		4946.835	5706.270		3155.635	1822.940
	26	2642.625	544.500		0.000	0.000		16325.356	11990.872		2384.235	491.260
	27	1942.875	777.375		0.000	0.000		31392.990	28637.411		1752.905	701.365
	28	155.250	155.250		0.000	0.000		37051.233	24314.934		140.070	140.070
	29	466.875	466.875		0.000	0.000		40583.257	39004.352		421.225	421.225
	30	77.625	0.000		0.000	0.000		36123.701	33046.938		70.035	0.000
	31	0.000	155.250		0.000	0.000		33050.940	37854.693		0.000	140.070
	32	0.000	0.000		0.000	0.000		34320.668	35096.112		0.000	0.000
	33	0.000	0.000		0.000	0.000		21524.335	12862.371		0.000	0.000
	34	77.625	0.000		0.000	0.000		14348.222	6184.544		70.035	0.000
	35	0.000	0.000		0.000	0.000		2968.701	3215.843		0.000	0.000
	36	0.000	0.000		0.000	0.000		3215.843	0.000		0.000	0.000
	37	0.000	77.625		0.000	0.000		1484.851	0.000		0.000	70.035
