Number at Lngt

	Season	Q1			Q2			Q3			Q4
	Sex	Male	Female		Male	Female		Male	Female		Male	Female
	Lngt	Number	Number		Number	Number		Number	Number		Number	Number
	14	0.000	0.000		0.000	0.000		0.000	0.000		0.000	117.523
	15	0.000	0.000		0.000	0.000		0.000	0.000		0.000	475.200
	16	0.000	0.000		0.000	0.000		0.000	0.000		0.000	145.115
	17	0.000	0.000		343.690	0.000		0.000	0.000		0.000	0.000
	18	0.000	0.000		1276.563	0.000		0.000	0.000		0.000	0.000
	19	0.000	224.810		756.795	0.000		0.000	0.000		0.000	0.000
	20	0.000	369.331		0.000	0.000		0.000	0.000		0.000	64.382
	21	2859.308	106.384		0.000	0.000		0.000	0.000		3497.063	1594.219
	22	5593.163	6122.070		0.000	0.000		0.000	5914.896		6403.447	6311.473
	23	5531.942	12411.744		2356.732	0.000		2084.956	12097.557		6165.336	12880.473
	24	6620.868	28567.987		3441.980	0.000		3044.697	17557.152		6055.989	31509.333
	25	23170.529	49658.015		1354.443	2346.573		17321.479	36534.361		22162.713	40412.434
	26	33702.496	85740.090		905.784	6084.837		37362.727	66177.035		25795.693	52432.438
	27	90282.465	100597.651		1777.707	11158.921		46469.741	119844.336		60275.792	82128.858
	28	90029.553	114501.775		3430.128	18183.404		55272.887	204362.764		62892.969	93128.971
	29	190574.013	146483.067		17963.307	33461.526		127151.208	390385.138		75625.262	106282.301
	30	206235.472	139387.487		23137.281	57848.281		150808.787	438230.810		87968.197	98015.866
	31	224392.929	123039.553		53955.949	68656.740		220608.169	439529.520		133488.265	94409.456
	32	199395.815	89847.899		46106.949	92322.254		260797.972	523226.601		136447.790	68573.908
	33	240075.464	74396.196		73671.567	83105.266		302939.349	609255.343		143219.133	63930.233
	34	190685.414	58480.821		112508.541	87520.752		350239.462	637427.818		132799.480	62301.268
	35	166711.991	39198.309		124166.914	121703.519		436964.192	600548.472		137499.361	40020.011
	36	125957.071	20540.046		183591.428	108270.826		377757.066	572147.344		123085.984	37261.808
	37	155834.779	26322.893		229977.732	81737.278		283678.329	754091.067		119558.264	29559.481
	38	126125.679	7637.533		208934.759	142470.524		307691.925	582460.804		112320.917	19604.808
	39	114131.440	8208.592		204747.836	133605.692		305951.954	371398.904		113963.167	23228.591
	40	117631.056	3842.853		200090.243	144879.741		279585.639	300983.763		96371.572	20546.011
	41	122927.148	4409.898		220984.227	191965.275		262489.804	277372.316		110323.034	13439.472
	42	94048.040	1591.738		163095.312	102380.690		167953.761	234272.200		97710.307	12308.190
	43	93415.761	2678.656		172735.564	83945.021		138252.921	146542.600		110279.090	9702.254
	44	85713.996	626.258		261140.090	34182.767		99997.644	117195.771		82875.893	13705.175
	45	83569.264	2913.503		161283.744	18904.645		111540.617	63535.490		91847.464	5305.888
	46	76059.191	2176.847		95865.817	20878.746		100317.558	50851.257		82797.204	10459.509
	47	70990.920	2071.468		130290.691	17529.885		83529.603	37726.767		59178.234	5745.321
	48	51741.526	701.529		58434.078	2050.289		71140.213	33781.497		62049.872	3891.530
	49	38061.209	460.661		65377.294	2636.086		49276.759	31987.372		38432.946	1692.325
	50	37508.216	479.729		29140.852	47.406		39770.605	22888.381		30589.592	0.000
	51	22025.401	0.000		29467.611	477.441		28158.435	13939.819		26919.822	173.729
	52	18837.910	0.000		10126.158	353.848		20723.196	9779.936		19852.117	725.574
	53	16325.854	0.000		14353.715	245.493		12565.895	8908.447		16124.096	0.000
	54	11158.225	0.000		10991.309	245.493		4626.215	6236.816		9206.616	552.867
	55	5012.068	0.000		6411.597	0.000		7978.791	995.845		2361.693	552.867
	56	6415.126	80.289		3651.918	0.000		4828.793	781.232		2932.955	0.000
	57	2552.201	0.000		1941.933	0.000		5292.117	1063.037		2396.438	0.000
	58	198.716	239.865		3775.511	0.000		3022.634	985.816		1150.699	0.000
	59	466.682	0.000		353.848	0.000		189.541	469.341		1423.556	0.000
	60	80.289	0.000		463.897	121.900		794.269	198.567		0.000	0.000
	61	0.000	0.000		0.000	0.000		0.000	0.000		42.921	0.000
	62	0.000	0.000		0.000	0.000		0.000	0.000		42.921	0.000
	63	0.000	0.000		0.000	0.000		127.364	887.535		0.000	0.000
	67	0.000	0.000		463.897	0.000		0.000	0.000		0.000	0.000
