Moray	Firth			
2000	2024			
5				
2000	4704.9	40.9	3197.5	0
2001	4660.3	48.2	2510.8	0
2002	5551	155.3	1789.1	0
2003	4795.9	305.2	833.2	0
2004	5096.2	156.2	948	0
2005	4191.5	282.8	330.4	0
2006	3962.4	363	262.5	0
2007	4071.5	459.1	227.7	0
2008	3459.5	562.1	306.8	0
2009	2793.2	375.8	377.1	0
2010	2850	395.8	343.6	0
2011	3006.7	415.2	457.9	0
2012	2481	185	413	0
2013	1879.5	188	886.2	0
2014	2667.8	155.9	1275.6	0
2015	2407	153.3	1194.6	0
2016	2162.8	61.3	1352.7	0
2017	3092.8	139.3	1812.2	0
2018	2326.2	207.1	2045.5	0
2019	2304.8	225.8	1812.4	0
2020	1557.1	131.5	1829	0
2021	1448.1	64.9	1668.8	0
2022	1768.6	75	1440.8	0
2023	1763.7	249	1228.3	0
2024	1690.3	152.5	972.2	0
