Moray	Firth			
2000	2024			
5
2000	834727.4	11778.2	1090445.6	0
2001	962323.9	17023.3	876547	0
2002	1074991.6	51897.6	630798.2	0
2003	998405.9	103225.9	340500.3	0
2004	1055848.3	49629.9	410421.9	0
2005	891523	94892.8	155957.9	0
2006	766560.5	118173.1	108408	0
2007	774483.4	145554.5	85998.3	0
2008	716942.9	180322.6	127033.8	0
2009	531891.2	122895.8	169895.4	0
2010	563081.8	131026.2	157113.1	0
2011	698115.2	143680	184281.1	0
2012	521843	68312	181823	0
2013	378483.6	72025.9	376139.4	0
2014	560758.9	58664.4	542871.1	0
2015	438841.3	48359.3	497322	0
2016	313781.9	19400.5	512861.4	0
2017	400703.7	28954.4	751151.7	0
2018	319839.5	52481.9	874141.6	0
2019	324361.4	59303.8	787962.6	0
2020	239272	38657.5	783882.1	0
2021	237238.3	18710	738762.7	0
2022	264208.5	20966.2	624028.7	0
2023	287105.1	71605.8	562692.3	0
2024	284747.7	52759	458831.5	0
