"Year","Scotland","Other.Countries","Total"
1981,1416,0,1416
1982,1119,0,1119
1983,941,0,941
1984,1169,0,1169
1985,2081,0,2081
1986,2143,0,2143
1987,1992,0,1992
1988,1959,0,1959
1989,2576,0,2576
1990,2037,0,2037
1991,1520,0,1520
1992,1591,0,1591
1993,1809,0,1809
1994,1537,0,1537
1995,1279,0,1279
1996,1449,2,1451
1997,1446,1,1447
1998,1032,0,1032
1999,1009,0,1009
2000,1539,0,1539
2001,1401,0,1401
2002,1132,0,1132
2003,1080,0,1080
2004,1333,0,1333
2005,1602,3,1605
2006,1804,1,1805
2007,1841,2,1843
2008,1515,0,1515
2009,1066,1,1067
2010,1063,0,1063
2011,1390,1,1391
2012,866,0,866
2013,620,3,623
2014,1241,12,1253
2015,814,2,816
2016,1146,0,1146
2017,1142,1,1143
2018,1395,2,1397
2019,1354,2,1356
2020,961,2,963
2021,1221,0,1221
2022,1081,1,1082
2023,1109,1,1110
